taxon,country
hCoV-19/Switzerland/GR2988/2020|EPI ISL 415698|Europe|Switzerland|2020-02-27,Switzerland
hCoV-19/Switzerland/42169171/2020|EPI ISL 418271|Europe|Switzerland|2020-02-27,Switzerland
hCoV-19/Switzerland/1000477797/2020|EPI ISL 413023|Europe|Switzerland|2020-02-29,Switzerland
hCoV-19/Brazil/SPBR-08/2020|EPI ISL 416029|SouthAmerica|Brazil|2020-03-04,Brazil
hCoV-19/USA/WA-UW258/2020|EPI ISL 418043|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/Australia/NSW50/2020|EPI ISL 417404|Oceania|Australia|2020-03-12,Australia
hCoV-19/Iceland/233/2020|EPI ISL 417561|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Belgium/ULG-6948/2020|EPI ISL 417022|Europe|Belgium|2020-03-15,Belgium
hCoV-19/Brazil/BA-312/2020|EPI ISL 415105|SouthAmerica|Brazil|2020-03-04,Brazil
hCoV-19/Brazil/SPBR-12/2020|EPI ISL 416034|SouthAmerica|Brazil|2020-03-04,Brazil
hCoV-19/Switzerland/1000477757/2020|EPI ISL 413021|Europe|Switzerland|2020-02-29,Switzerland
hCoV-19/Germany/Baden-Wuerttemberg-1/2020|EPI ISL 412912|Europe|Germany|2020-02-25,Germany
hCoV-19/Scotland/CVR01/2020|EPI ISL 413221|Europe|UnitedKingdom|2020-03-02,United Kingdom
HCoV-19/Italy/TE4959/2020|EPI ISL 418259|Europe|Italy|2020-03-14,Italy
