taxon,country
hCoV-19/SaudiArabia/KAIMRC-Alghoribi/2020|EPI ISL 416432|Asia|SaudiArabia|2020-03-07,SaudiArabia
hCoV-19/Australia/NSW38/2020|EPI ISL 417396|Oceania|Australia|2020-03-10,Australia
hCoV-19/Australia/NSW25/2020|EPI ISL 417388|Oceania|Australia|2020-03-05,Australia
hCoV-19/Japan/DP0287/2020|EPI ISL 416589|Asia|Japan|2020-02-16,Japan
hCoV-19/Japan/DP0152/2020|EPI ISL 416578|Asia|Japan|2020-02-15,Japan
hCoV-19/HongKong/case78 VM20002849/2020|EPI ISL 414571|Asia|HongKong|2020-02-22,Hong Kong
hCoV-19/Japan/DP0027/2020|EPI ISL 416566|Asia|Japan|2020-02-15,Japan
hCoV-19/Singapore/3/2020|EPI ISL 407988|Asia|Singapore|2020-02-01,Singapore
hCoV-19/HongKong/VB20026565/2020|EPI ISL 412030|Asia|HongKong|2020-02-01,Hong Kong
hCoV-19/Shanghai/SH0045/2020|EPI ISL 416354|Asia|China|2020-02-04,China
hCoV-19/France/IDF0515/2020|EPI ISL 408430|Europe|France|2020-01-29,France
hCoV-19/Shanghai/SH0081/2020|EPI ISL 416383|Asia|China|2020-02-01,China
hCoV-19/Wuhan/HBCDC-HB-05/2020|EPI ISL 412981|Asia|China|2020-01-18,China
hCoV-19/Shanghai/SH0126/2020|EPI ISL 416407|Asia|China|2020-02-15,China
hCoV-19/Shanghai/SH0125/2020|EPI ISL 416406|Asia|China|2020-02-15,China
hCoV-19/Shanghai/SH0080/2020|EPI ISL 416382|Asia|China|2020-02-08,China
hCoV-19/Australia/NSW18/2020|EPI ISL 417384|Oceania|Australia|2020-03-05,Australia
hCoV-19/Australia/NSW19/2020|EPI ISL 417385|Oceania|Australia|2020-03-06,Australia
hCoV-19/Canada/BC 37 0-2/2020|EPI ISL 412965|NorthAmerica|Canada|2020-02-16,Canada
hCoV-19/Canada/BC 69243/2020|EPI ISL 415577|NorthAmerica|Canada|2020-02-20,Canada
hCoV-19/Germany/BavPat2/2020|EPI ISL 414520|Europe|Germany|2020-03-02,Germany
hCoV-19/England/200990002/2020|EPI ISL 414522|Europe|UnitedKingdom|2020-02-28,United Kingdom
hCoV-19/Taiwan/CGMH-CGU-10/2020|EPI ISL 417523|Asia|Taiwan|2020-03-13,Taiwan
hCoV-19/USA/NY1-PV08001/2020|EPI ISL 414476|NorthAmerica|USA|2020-02-29,United States of America
hCoV-19/Canada/BC 17397/2020|EPI ISL 415580|NorthAmerica|Canada|2020-02-28,Canada
hCoV-19/Canada/BC 13297/2020|EPI ISL 415578|NorthAmerica|Canada|2020-02-27,Canada
hCoV-19/Canada/BC 02421/2020|EPI ISL 415581|NorthAmerica|Canada|2020-03-01,Canada
hCoV-19/USA/WA-UW22/2020|EPI ISL 414591|NorthAmerica|USA|2020-03-06,United States of America
hCoV-19/Netherlands/ZuidHolland 16/2020|EPI ISL 414558|Europe|Netherlands|2020-03-06,Netherlands
hCoV-19/Guangdong/DG-S41-P0056/2020|EPI ISL 413896|Asia|China|2020-02-28,China
hCoV-19/Pakistan/Gilgit1/2020|EPI ISL 417444|Asia|Pakistan|2020-03-04,Pakistan
hCoV-19/Georgia/Tb-82/2020|EPI ISL 415644|Asia|Georgia|2020-02-28,Georgia
hCoV-19/Kuwait/KU18/2020|EPI ISL 416543|Asia|Kuwait|2020-03-02,Kuwait
hCoV-19/Canada/BC 65034/2020|EPI ISL 415585|NorthAmerica|Canada|2020-03-04,Canada
hCoV-19/Canada/BC 66353/2020|EPI ISL 415587|NorthAmerica|Canada|2020-03-04,Canada
hCoV-19/Kuwait/KU09/2020|EPI ISL 416541|Asia|Kuwait|2020-03-02,Kuwait
hCoV-19/Canada/BC 25211/2020|EPI ISL 415579|NorthAmerica|Canada|2020-03-02,Canada
hCoV-19/Australia/NSW11/2020|EPI ISL 413597|Oceania|Australia|2020-03-02,Australia
hCoV-19/Norway/1380/2020|EPI ISL 417484|Europe|Norway|2020-02-26,Norway
hCoV-19/Australia/VIC04/2020|EPI ISL 416412|Oceania|Australia|2020-03-02,Australia
hCoV-19/England/20100023206/2020|EPI ISL 415137|Europe|UnitedKingdom|2020-03-02,United Kingdom
hCoV-19/Australia/NSW06/2020|EPI ISL 413213|Oceania|Australia|2020-02-29,Australia
hCoV-19/Australia/NSW09/2020|EPI ISL 413595|Oceania|Australia|2020-02-28,Australia
hCoV-19/Kuwait/KU12/2020|EPI ISL 416458|Asia|Kuwait|2020-03-02,Kuwait
hCoV-19/Australia/NSW15/2020|EPI ISL 417383|Oceania|Australia|2020-03-03,Australia
hCoV-19/Australia/NSW26/2020|EPI ISL 417389|Oceania|Australia|2020-03-09,Australia
hCoV-19/Australia/NSW40/2020|EPI ISL 417398|Oceania|Australia|2020-03-11,Australia
hCoV-19/Australia/NSW28/2020|EPI ISL 417391|Oceania|Australia|2020-03-08,Australia
hCoV-19/Australia/NSW35/2020|EPI ISL 417393|Oceania|Australia|2020-03-08,Australia
hCoV-19/Australia/QLD09/2020|EPI ISL 414414|Oceania|Australia|2020-02-29,Australia
hCoV-19/Australia/NSW21/2020|EPI ISL 417386|Oceania|Australia|2020-03-04,Australia
hCoV-19/Australia/NSW07/2020|EPI ISL 413214|Oceania|Australia|2020-02-29,Australia
hCoV-19/NewZealand/20VR0206/2020|EPI ISL 416526|Oceania|NewZealand|2020-03-05,New Zealand
hCoV-19/Kuwait/KU17/2020|EPI ISL 416542|Asia|Kuwait|2020-03-02,Kuwait
hCoV-19/England/200960041/2020|EPI ISL 414008|Europe|UnitedKingdom|2020-02-27,United Kingdom
hCoV-19/Australia/NSW05/2020|EPI ISL 412975|Oceania|Australia|2020-02-28,Australia
hCoV-19/Australia/VIC06/2020|EPI ISL 416414|Oceania|Australia|2020-03-06,Australia
hCoV-19/Australia/NSW53/2020|EPI ISL 417406|Oceania|Australia|2020-03-11,Australia
hCoV-19/NewZealand/01/2020|EPI ISL 413490|Oceania|NewZealand|2020-02-27,New Zealand
hCoV-19/Taiwan/CGMH-CGU-03/2020|EPI ISL 415741|Asia|Taiwan|2020-02-26,Taiwan
hCoV-19/Taiwan/CGMH-CGU-07/2020|EPI ISL 417520|Asia|Taiwan|2020-03-09,Taiwan
hCoV-19/Shanghai/SH0070/2020|EPI ISL 416373|Asia|China|2020-02-07,China
hCoV-19/England/20104035803/2020|EPI ISL 417238|Europe|UnitedKingdom|2020-03-03,United Kingdom
hCoV-19/Shanghai/SH0022/2020|EPI ISL 416331|Asia|China|2020-01-30,China
hCoV-19/Shandong/IVDC-SD-001/2020|EPI ISL 408482|Asia|China|2020-01-19,China
